
age,income,education,credit_score,employment_status,loan_amount,loan_approved
25,35000,Bachelor,680,Employed,5000,0
32,60000,Master,720,Employed,10000,1
45,52000,Bachelor,690,Self-employed,8000,1
29,41000,Diploma,650,Employed,4000,0
50,80000,Master,740,Employed,15000,1
23,30000,Diploma,620,Unemployed,3000,0
37,70000,Bachelor,710,Employed,12000,1
42,45000,Bachelor,660,Self-employed,6000,0
31,54000,Master,700,Employed,9000,1
27,38000,Diploma,640,Employed,3000,0
48,90000,PhD,780,Employed,20000,1
36,62000,Master,720,Employed,11000,1
39,48000,Bachelor,670,Employed,7000,0
53,100000,PhD,800,Self-employed,25000,1
41,72000,Master,730,Employed,14000,1
28,39000,Diploma,645,Employed,3500,0
34,58000,Bachelor,695,Employed,8000,1
46,76000,Master,705,Self-employed,13000,1
30,42000,Bachelor,655,Employed,4500,0
52,85000,Master,750,Employed,16000,1
26,36000,Diploma,635,Employed,3200,0
44,68000,Bachelor,700,Self-employed,10000,1
38,59000,Master,715,Employed,9000,1
47,79000,Bachelor,690,Employed,14000,1
33,52000,Diploma,670,Employed,7000,0
49,91000,Master,770,Self-employed,20000,1
40,61000,Bachelor,705,Employed,10000,1
35,54000,Diploma,660,Employed,6000,0
55,120000,PhD,820,Self-employed,30000,1
29,40000,Bachelor,640,Employed,5000,0
43,70000,Master,710,Employed,12000,1
51,88000,Bachelor,745,Self-employed,18000,1
24,31000,Diploma,620,Unemployed,2500,0
36,67000,Master,725,Employed,11000,1
28,37000,Diploma,630,Employed,3000,0
50,95000,PhD,790,Employed,21000,1
45,72000,Bachelor,700,Self-employed,15000,1
33,48000,Bachelor,655,Employed,6000,0
40,62000,Master,720,Employed,10000,1
27,41000,Diploma,645,Employed,3500,0
52,89000,Master,760,Self-employed,20000,1
37,58000,Bachelor,690,Employed,8000,0
43,73000,Master,735,Employed,14000,1
31,50000,Diploma,660,Employed,7000,0
48,87000,Bachelor,750,Self-employed,19000,1
26,34000,Diploma,630,Employed,3000,0
55,115000,PhD,810,Employed,28000,1
38,69000,Master,720,Employed,12000,1
41,64000,Bachelor,705,Employed,11000,1
30,43000,Diploma,650,Employed,5000,0
53,102000,Master,770,Self-employed,23000,1
46,76000,Bachelor,710,Employed,15000,1
29,36000,Diploma,640,Employed,3500,0
44,70000,Master,715,Employed,13000,1
39,52000,Bachelor,675,Self-employed,7000,0
50,90000,Master,755,Employed,17000,1
32,61000,Bachelor,695,Employed,9000,1
36,57500,Diploma,665,Employed,6500,0
47,82000,Master,740,Self-employed,16000,1
34,49000,Bachelor,645,Employed,5000,0
52,93000,Master,765,Employed,18500,1
40,60000,Bachelor,700,Self-employed,9000,1
28,38000,Diploma,630,Employed,3000,0
56,122000,PhD,825,Employed,30000,1
45,71000,Bachelor,695,Self-employed,12000,1
33,53000,Master,690,Employed,8000,1
49,86000,Bachelor,740,Employed,15000,1
26,35000,Diploma,635,Employed,3000,0
43,68000,Master,710,Employed,11000,1
38,59000,Bachelor,665,Employed,7000,0
51,91000,Master,760,Self-employed,20000,1
29,41000,Bachelor,645,Employed,5000,0
47,78000,Master,730,Employed,14000,1
35,54000,Diploma,660,Employed,6000,0
54,112000,PhD,805,Self-employed,27000,1
41,65000,Master,720,Employed,11000,1
37,59000,Bachelor,690,Employed,8000,1
30,42000,Diploma,655,Employed,4500,0
48,88000,Master,760,Self-employed,18000,1
34,50000,Bachelor,675,Employed,7000,0
52,95000,Master,770,Employed,20000,1
39,61000,Bachelor,700,Self-employed,10000,1
25,33000,Diploma,640,Unemployed,3000,0
46,75000,Master,735,Employed,15000,1
32,58000,Bachelor,690,Employed,8500,1
50,89000,PhD,780,Self-employed,19000,1
27,40000,Diploma,645,Employed,3500,0
44,72000,Master,710,Employed,12000,1
38,56000,Bachelor,665,Employed,7000,0
53,108000,PhD,800,Employed,25000,1
29,43000,Bachelor,660,Employed,5000,0
47,81000,Master,745,Self-employed,16000,1
